"category","airbnb-link","rule","description","fixable","recommended","airbnb-level","airbnb-value"
"Errors",,"=HYPERLINK(""https://eslint.org/docs/rules/no-compare-neg-zero"", ""no-compare-neg-zero"")","disallow comparing against -0","","Error ⛔","Error ⛔","error"
"Errors",,"=HYPERLINK(""https://eslint.org/docs/rules/no-cond-assign"", ""no-cond-assign"")","disallow assignment operators in conditional expressions","","Error ⛔","Error ⛔","[""error"",""always""]"
"Errors",,"=HYPERLINK(""https://eslint.org/docs/rules/no-console"", ""no-console"")","disallow the use of `console`","","Error ⛔","Warn ⚠️","warn"
"Errors",,"=HYPERLINK(""https://eslint.org/docs/rules/no-constant-condition"", ""no-constant-condition"")","disallow constant expressions in conditions","","Error ⛔","Warn ⚠️","warn"
"Errors",,"=HYPERLINK(""https://eslint.org/docs/rules/no-control-regex"", ""no-control-regex"")","disallow control characters in regular expressions","","Error ⛔","Error ⛔","error"
"Errors",,"=HYPERLINK(""https://eslint.org/docs/rules/no-debugger"", ""no-debugger"")","disallow the use of `debugger`","🔧","Error ⛔","Error ⛔","error"
"Errors",,"=HYPERLINK(""https://eslint.org/docs/rules/no-dupe-args"", ""no-dupe-args"")","disallow duplicate arguments in `function` definitions","","Error ⛔","Error ⛔","error"
"Errors",,"=HYPERLINK(""https://eslint.org/docs/rules/no-dupe-keys"", ""no-dupe-keys"")","disallow duplicate keys in object literals","","Error ⛔","Error ⛔","error"
"Errors",,"=HYPERLINK(""https://eslint.org/docs/rules/no-duplicate-case"", ""no-duplicate-case"")","disallow duplicate case labels","","Error ⛔","Error ⛔","error"
"Errors",,"=HYPERLINK(""https://eslint.org/docs/rules/no-empty"", ""no-empty"")","disallow empty block statements","","Error ⛔","Error ⛔","error"
"Errors",,"=HYPERLINK(""https://eslint.org/docs/rules/no-empty-character-class"", ""no-empty-character-class"")","disallow empty character classes in regular expressions","","Error ⛔","Error ⛔","error"
"Errors",,"=HYPERLINK(""https://eslint.org/docs/rules/no-ex-assign"", ""no-ex-assign"")","disallow reassigning exceptions in `catch` clauses","","Error ⛔","Error ⛔","error"
"Errors",,"=HYPERLINK(""https://eslint.org/docs/rules/no-extra-boolean-cast"", ""no-extra-boolean-cast"")","disallow unnecessary boolean casts","🔧","Error ⛔","Error ⛔","error"
"Errors",,"=HYPERLINK(""https://eslint.org/docs/rules/no-extra-parens"", ""no-extra-parens"")","disallow unnecessary parentheses","🔧","Off 🙈","Off 🙈","[""off"",""all"",{""conditionalAssign"":true,""nestedBinaryExpressions"":false,""returnAssign"":false,""ignoreJSX"":""all"",""enforceForArrowConditionals"":false}]"
"Errors",,"=HYPERLINK(""https://eslint.org/docs/rules/no-extra-semi"", ""no-extra-semi"")","disallow unnecessary semicolons","🔧","Error ⛔","Error ⛔","error"
"Errors",,"=HYPERLINK(""https://eslint.org/docs/rules/no-func-assign"", ""no-func-assign"")","disallow reassigning `function` declarations","","Error ⛔","Error ⛔","error"
"Errors",,"=HYPERLINK(""https://eslint.org/docs/rules/no-inner-declarations"", ""no-inner-declarations"")","disallow variable or `function` declarations in nested blocks","","Error ⛔","Error ⛔","error"
"Errors",,"=HYPERLINK(""https://eslint.org/docs/rules/no-invalid-regexp"", ""no-invalid-regexp"")","disallow invalid regular expression strings in `RegExp` constructors","","Error ⛔","Error ⛔","error"
"Errors",,"=HYPERLINK(""https://eslint.org/docs/rules/no-irregular-whitespace"", ""no-irregular-whitespace"")","disallow irregular whitespace outside of strings and comments","","Error ⛔","Error ⛔","error"
"Errors",,"=HYPERLINK(""https://eslint.org/docs/rules/no-obj-calls"", ""no-obj-calls"")","disallow calling global object properties as functions","","Error ⛔","Error ⛔","error"
"Errors",,"=HYPERLINK(""https://eslint.org/docs/rules/no-prototype-builtins"", ""no-prototype-builtins"")","disallow calling some `Object.prototype` methods directly on objects","","Off 🙈","Error ⛔","error"
"Errors",,"=HYPERLINK(""https://eslint.org/docs/rules/no-regex-spaces"", ""no-regex-spaces"")","disallow multiple spaces in regular expressions","🔧","Error ⛔","Error ⛔","error"
"Errors",,"=HYPERLINK(""https://eslint.org/docs/rules/no-sparse-arrays"", ""no-sparse-arrays"")","disallow sparse arrays","","Error ⛔","Error ⛔","error"
"Errors",,"=HYPERLINK(""https://eslint.org/docs/rules/no-template-curly-in-string"", ""no-template-curly-in-string"")","disallow template literal placeholder syntax in regular strings","","Off 🙈","Error ⛔","error"
"Errors",,"=HYPERLINK(""https://eslint.org/docs/rules/no-unexpected-multiline"", ""no-unexpected-multiline"")","disallow confusing multiline expressions","","Error ⛔","Error ⛔","error"
"Errors",,"=HYPERLINK(""https://eslint.org/docs/rules/no-unreachable"", ""no-unreachable"")","disallow unreachable code after `return`, `throw`, `continue`, and `break` statements","","Error ⛔","Error ⛔","error"
"Errors",,"=HYPERLINK(""https://eslint.org/docs/rules/no-unsafe-finally"", ""no-unsafe-finally"")","disallow control flow statements in `finally` blocks","","Error ⛔","Error ⛔","error"
"Errors",,"=HYPERLINK(""https://eslint.org/docs/rules/no-unsafe-negation"", ""no-unsafe-negation"")","disallow negating the left operand of relational operators","🔧","Error ⛔","Error ⛔","error"
"Errors",,"=HYPERLINK(""https://eslint.org/docs/rules/no-negated-in-lhs"", ""no-negated-in-lhs"")","disallow negating the left operand in `in` expressions","","Off 🙈","Off 🙈","off"
"Errors",,"=HYPERLINK(""https://eslint.org/docs/rules/use-isnan"", ""use-isnan"")","require calls to `isNaN()` when checking for `NaN`","","Error ⛔","Error ⛔","error"
"Errors",,"=HYPERLINK(""https://eslint.org/docs/rules/valid-jsdoc"", ""valid-jsdoc"")","enforce valid JSDoc comments","🔧","Off 🙈","Off 🙈","off"
"Errors",,"=HYPERLINK(""https://eslint.org/docs/rules/valid-typeof"", ""valid-typeof"")","enforce comparing `typeof` expressions against valid strings","","Error ⛔","Error ⛔","[""error"",{""requireStringLiterals"":true}]"
"Node",,"=HYPERLINK(""https://eslint.org/docs/rules/callback-return"", ""callback-return"")","require `return` statements after callbacks","","Off 🙈","Off 🙈","off"
